EV_EBITDA,PBR,PER,ROE,매출액,배당수익율,부채비율,상세구분,순이익,순이익율,시장구분,업종구분,종목명,종목코드,투자의견,현재가
33.53,10.18,36.57,34.36,997.0,,40.94,반도체와반도체장비,278,27.83,KOSDAQ,반도체,기가비스,"""420770""",,96300.0
44.96,10.74,39.2,31.76,395.0,,128.6,IT서비스,22,5.62,KOSDAQ,소프트웨어,시큐센,"""232830""",,9150.0
5.59,3.48,8.39,,1019.0,,62.1,핸드셋,169,16.57,KOSDAQ,반도체,팸텍,"""271830""",,5440.0
28.5,25.34,,130.25,168.0,,813.46,소프트웨어,-83,-49.38,KOSDAQ,소프트웨어,씨유박스,"""340810""",,12060.0
59.23,6.92,128.25,8.88,141.0,,54.82,소프트웨어,7,5.09,KOSDAQ,소프트웨어,모니터랩,"""434480""",,9220.0
18.82,4.12,17.13,27.69,481.0,,121.76,화학,51,10.65,KOSDAQ,화학,진영,"""285800""",,6940.0
30.69,2.89,36.92,8.21,76.0,,8.88,건강관리장비와용품,13,16.39,KOSDAQ,"의료,정밀기기",프로테옴텍,"""303360""",,4120.0
5.53,1.51,6.35,29.71,16811.0,1.11,74.28,전자장비와기기,"1,407",8.37,KOSPI,전기전자,비에이치,"""090460""",400.0,26700.0
10.91,1.87,9.61,,1072.0,,146.76,음료,89,8.35,KOSDAQ,도매,나라셀라,"""405920""",,17810.0
10.81,1.73,19.47,9.47,275.0,,43.04,화장품,29,10.49,KOSDAQ,"섬유,의류",셀바이오휴먼텍,"""318160""",,6050.0
12.0,3.55,16.0,25.18,414.0,,89.6,반도체와반도체장비,58,13.98,KOSDAQ,반도체,마이크로투나노,"""424980""",,18960.0
41.77,8.24,47.17,18.57,434.0,,74.56,소프트웨어,95,21.78,KOSDAQ,소프트웨어,슈어소프트테크,"""298830""",,9010.0
8.42,4.78,12.46,59.0,271.0,,36.07,IT서비스,46,16.89,KOSDAQ,소프트웨어,토마토시스템,"""393210""",,4800.0
12.49,1.98,37.01,6.73,6918.0,,131.96,건설,280,4.05,KOSPI,철강금속,SK오션플랜트,"""100090""",400.0,19410.0
11.65,2.17,14.55,16.23,388.0,,7.8,전자장비와기기,76,19.66,KOSDAQ,정보기기,트루엔,"""417790""",,13180.0
