EV_EBITDA,PBR,PER,ROE,매출액,배당수익율,부채비율,상세구분,순이익,순이익율,시장구분,업종구분,종목명,종목코드,투자의견,현재가
-11.58,,,427.45,84.0,,"
											
											
												
				",생물공학,-358,-425.22,KOSDAQ,"연구,개발",큐라티스,"""348080""",,"
															4,695"
25.13,7.77,27.91,34.36,997.0,,"
											
											
												
				40.94
			
											
										",반도체와반도체장비,278,27.83,KOSDAQ,반도체,기가비스,"""420770""",,"
															73,500"
34.08,3.17,40.46,8.21,76.0,,"
											
											
												
				8.88
			
											
										",건강관리장비와용품,13,16.39,KOSDAQ,"의료,정밀기기",프로테옴텍,"""303360""",,"
															4,515"
-29.79,26.47,,-130.25,168.0,,"
											
											
												
				813.46
			
											
										",소프트웨어,-83,-49.38,KOSDAQ,소프트웨어,씨유박스,"""340810""",,"
															12,600"
22.48,5.05,20.98,27.69,481.0,,"
											
											
												
				121.76
			
											
										",화학,51,10.65,KOSDAQ,화학,진영,"""285800""",,"
															8,500"
11.37,1.97,10.15,,1072.0,,"
											
											
												
				146.76
			
											
										",음료,89,8.35,KOSDAQ,도매,나라셀라,"""405920""",,"
															18,820"
5.58,1.52,6.41,29.71,16811.0,1.11,"
											
											
												
				74.28
			
											
										",전자장비와기기,"1,407",8.37,KOSPI,전기전자,비에이치,"""090460""",4.00,"
															26,950"
24.42,10.98,32.65,,1018.0,,"
											
											
												
				20.40
			
											
										",화장품,173,16.98,KOSDAQ,화학,마녀공장,"""439090""",,"
															40,000"
11.77,1.9,21.33,9.47,275.0,,"
											
											
												
				43.04
			
											
										",화장품,29,10.49,KOSDAQ,"섬유,의류",셀바이오휴먼텍,"""318160""",,"
															6,630"
12.96,2.06,38.42,6.73,6918.0,,"
											
											
												
				131.96
			
											
										",건설,280,4.05,KOSPI,철강금속,SK오션플랜트,"""100090""",4.00,"
															20,150"
