EV_EBITDA,PBR,PER,ROE,매출액,배당수익율,부채비율,상세구분,순이익,순이익율,시장구분,업종구분,종목명,종목코드,투자의견,현재가
25.46,11.42,33.95,,"
											
											
												
				1,018
			
											
										","
											
										","
											
											
												
				20.40
			
											
										",화장품,173,16.98,KOSDAQ,화학,마녀공장,"""439090""",,"
															41,600"
,,,,"
											
											
										","
											
										","
											
											
										",창업투자,,,KOSDAQ,금융서비스,하나27호스팩,"""448370""",,"
															2,165"
,,,,,,,화학,,,KOSPI,화학,이수스페셜티케미컬,"""457190""",,"
															228,000"
5.62,3.50,8.44,,"
											
											
												
				1,019
			
											
										","
											
										","
											
											
												
				62.10
			
											
										",핸드셋,169,16.57,KOSDAQ,반도체,팸텍,"""271830""",,"
															5,470"
,,,,,,,창업투자,,,KOSDAQ,금융서비스,키움제8호스팩,"""446840""",,"
															2,140"
12.41,3.66,16.49,25.18,"
											
											
												
				414
			
											
										","
											
										","
											
											
												
				89.60
			
											
										",반도체와반도체장비,58,13.98,KOSDAQ,반도체,마이크로투나노,"""424980""",,"
															19,540"
7.79,4.46,12.25,59.00,"
											
											
												
				271
			
											
										","
											
										","
											
											
												
				36.07
			
											
										",IT서비스,46,16.89,KOSDAQ,소프트웨어,토마토시스템,"""393210""",,"
															13,240"
10.72,1.82,9.39,,"
											
											
												
				1,072
			
											
										","
											
										","
											
											
												
				146.76
			
											
										",음료,89,8.35,KOSDAQ,도매,나라셀라,"""405920""",,"
															17,400"
-61.41,N/A,N/A,997.79,"
											
											
												
				121
			
											
										","
											
										","
											
											
												
				2,253.35
			
											
										",생물공학,-48,-39.26,KOSDAQ,제약,에스바이오메딕스,"""304360""",,"
															11,850"
12.57,2.30,15.43,16.23,"
											
											
												
				388
			
											
										","
											
										","
											
											
												
				7.80
			
											
										",전자장비와기기,76,19.66,KOSDAQ,정보기기,트루엔,"""417790""",,"
															13,980"
,,,,"
											
											
										","
											
										","
											
											
										",화학,,,KOSPI,유통업,한화갤러리아,"""452260""",,"
															1,645"
47.33,9.33,53.40,18.57,"
											
											
												
				434
			
											
										","
											
										","
											
											
												
				74.56
			
											
										",소프트웨어,95,21.78,KOSDAQ,소프트웨어,슈어소프트테크,"""298830""",,"
															10,200"
-32.28,29.75,N/A,-130.25,"
											
											
												
				168
			
											
										","
											
										","
											
											
												
				813.46
			
											
										",소프트웨어,-83,-49.38,KOSDAQ,소프트웨어,씨유박스,"""340810""",,"
															14,160"
-6.74,4.66,N/A,-60.01,"
											
											
												
				35
			
											
										","
											
										","
											
											
												
				11.18
			
											
										",생물공학,-798,"-2,280.94",KOSDAQ,"연구,개발",지아이이노베이션,"""358570""",4.00,"
															22,300"
25.94,1.19,28.91,4.19,"
											
											
												
				185
			
											
										","
											
										","
											
											
												
				9.28
			
											
										",창업투자,39,20.91,KOSDAQ,금융,LB인베스트먼트,"""309960""",,"
															5,600"
,,,,,,,화학,,,KOSPI,화학,OCI,"""456040""",,"
															124,900"
20.04,4.43,18.42,27.69,"
											
											
												
				481
			
											
										","
											
										","
											
											
												
				121.76
			
											
										",화학,51,10.65,KOSDAQ,화학,진영,"""285800""",,"
															7,460"
23.55,7.31,26.28,34.36,"
											
											
												
				997
			
											
										","
											
										","
											
											
												
				40.94
			
											
										",반도체와반도체장비,278,27.83,KOSDAQ,반도체,기가비스,"""420770""",,"
															69,200"
"-352,699,939.00",10.00,"38,556.45",,,,,부동산,,,KOSPI,서비스업,한화리츠,"""451800""",4.00,"
															5,000"
82.82,9.42,174.43,8.88,"
											
											
												
				141
			
											
										","
											
										","
											
											
												
				54.82
			
											
										",소프트웨어,7,5.09,KOSDAQ,소프트웨어,모니터랩,"""434480""",,"
															12,540"
-582.06,1.24,N/A,,"
											
											
												
				-
			
											
										","
											
										","
											
											
												
				207.73
			
											
										",창업투자,-0,,KOSDAQ,금융서비스,유안타제12호스팩,"""446150""",,"
															2,140"
26.04,6.98,34.42,23.04,"
											
											
												
				383
			
											
										","
											
										","
											
											
												
				53.76
			
											
										",소프트웨어,46,11.96,KOSDAQ,소프트웨어,엑스게이트,"""356680""",,"
															5,990"
12.70,2.06,23.14,9.47,"
											
											
												
				275
			
											
										","
											
										","
											
											
												
				43.04
			
											
										",화장품,29,10.49,KOSDAQ,"섬유,의류",셀바이오휴먼텍,"""318160""",,"
															7,190"
-793.41,1.77,N/A,,"
											
											
												
				-
			
											
										","
											
										","
											
											
												
				80.75
			
											
										",창업투자,-0,,KOSDAQ,금융서비스,엔에이치스팩28호,"""450410""",,"
															2,230"
"-3,034.45",1.25,N/A,,"
											
											
												
				-
			
											
										","
											
										","
											
											
												
				184.83
			
											
										",창업투자,-1,,KOSDAQ,금융서비스,미래에셋드림스팩1호,"""442900""",,"
															9,680"
17.09,2.54,20.37,13.13,"
											
											
												
				2,306
			
											
										","
											
										","
											
											
												
				95.11
			
											
										",에너지장비및서비스,76,3.27,KOSDAQ,전문건설,금양그린파워,"""282720""",,"
															17,050"
317.94,9.94,303.01,3.33,"
											
											
												
				161
			
											
										","
											
										","
											
											
												
				5.28
			
											
										",반도체와반도체장비,6,3.83,KOSDAQ,통신장비,자람테크놀로지,"""389020""",,"
															35,700"
,,,,"
											
											
										","
											
										","
											
											
										",창업투자,,,KOSDAQ,금융서비스,하나26호스팩,"""446750""",,"
															2,160"
113.89,24.69,108.36,28.35,"
											
											
												
				385
			
											
										","
											
										","
											
											
												
				158.51
			
											
										",전자장비와기기,41,10.76,KOSDAQ,"기계,장비",나노팀,"""417010""",,"
															26,350"
"-2,001.67",1.60,N/A,,"
											
											
												
				-
			
											
										","
											
										","
											
											
												
				88.84
			
											
										",창업투자,-0,,KOSDAQ,금융서비스,유안타제13호스팩,"""449020""",,"
															2,065"
579.97,40.40,516.47,8.82,"
											
											
												
				109
			
											
										","
											
										","
											
											
												
				68.25
			
											
										",반도체와반도체장비,6,5.36,KOSDAQ,반도체,라온텍,"""418420""",,"
															10,630"
22.71,4.80,24.34,22.05,"
											
											
												
				91
			
											
										","
											
										","
											
											
												
				17.87
			
											
										",화장품,13,14.65,KOSDAQ,화학,이노진,"""344860""",,"
															3,505"
"-10,472.75",0.89,N/A,,"
											
											
												
				-
			
											
										","
											
										","
											
											
												
				271.13
			
											
										",창업투자,-0,,KOSDAQ,금융서비스,미래에셋비전스팩2호,"""446190""",,"
															2,170"
32.68,5.32,46.33,12.21,"
											
											
												
				644
			
											
										","
											
										","
											
											
												
				59.97
			
											
										",전자장비와기기,36,5.57,KOSDAQ,반도체,화인써키트,"""127980""",,"
															14,620"
"-9,848.77",15.01,N/A,-13.25,"
											
											
												
				677
			
											
										","
											
										","
											
											
												
				44.15
			
											
										",건설,-57,-8.41,KOSDAQ,전문기술,제이오,"""418550""",4.00,"
															32,400"
76.37,76.56,71.00,62.77,"
											
											
												
				93
			
											
										","
											
										","
											
											
												
				389.21
			
											
										",소프트웨어,22,23.17,KOSDAQ,소프트웨어,샌즈랩,"""411080""",,"
															12,750"
72.51,12.22,74.67,19.58,"
											
											
												
				272
			
											
										","
											
										","
											
											
												
				98.05
			
											
										",가구,13,4.85,KOSDAQ,기타제조,꿈비,"""407400""",,"
															16,070"
45.55,7.30,101.22,9.61,"
											
											
												
				258
			
											
										","
											
										","
											
											
												
				21.04
			
											
										",방송과엔터테인먼트,15,5.86,KOSDAQ,방송서비스,스튜디오미르,"""408900""",,"
															35,400"
,,,,"
											
											
										","
											
										","
											
											
										",창업투자,,,KOSDAQ,금융서비스,미래에셋비전스팩3호,"""448830""",,"
															2,165"
,,,,"
											
											
										","
											
										","
											
											
										",건설,,,KOSPI,유통업,코오롱모빌리티그룹,"""450140""",,"
															4,030"
20.22,5.51,19.94,32.13,"
											
											
												
				5,502
			
											
										","
											
										","
											
											
												
				110.61
			
											
										",반도체와반도체장비,150,2.73,KOSDAQ,도매,미래반도체,"""254490""",,"
															27,900"
10.83,4.28,12.30,43.36,"
											
											
												
				354
			
											
										","
											
										","
											
											
												
				81.97
			
											
										",생명과학도구및서비스,62,17.61,KOSDAQ,"연구,개발",바이오인프라,"""199730""",,"
															18,590"
9.53,4.41,10.30,61.17,"
											
											
												
				3,517
			
											
										","
											
										","
											
											
												
				101.33
			
											
										",반도체와반도체장비,422,11.99,KOSDAQ,반도체,티이엠씨,"""425040""",,"
															50,000"
