EV_EBITDA,PBR,PER,ROE,매출액,배당수익율,부채비율,상세구분,순이익,순이익율,시장구분,업종구분,종목명,종목코드,투자의견,현재가
10.67,1.53,24.2,,264.0,1.51,"
											
											
												
				19.60
			
											
										",소프트웨어,29,11.00,KOSDAQ,소프트웨어,아이퀘스트,"""262840""",,"
															7,050"
11.30,2.36,61.54,3.88,901.0,0.94,"
											
											
												
				35.08
			
											
										",IT서비스,19,2.13,KOSDAQ,소프트웨어,핑거,"""163730""",,"
															11,540"
14.80,1.68,5.62,35.37,643.0,0.3,"
											
											
												
				102.75
			
											
										",화장품,201,31.25,KOSDAQ,화학,선진뷰티사이언스,"""086710""",4.00,"
															9,040"
52.82,0.78,69.54,,,,,부동산,,,KOSPI,서비스업,ESR켄달스퀘어리츠,"""365550""",3.80,"
															4,165"
14.46,1.73,12.62,14.93,284.0,2.81,"
											
											
												
				75.62
			
											
										",IT서비스,79,27.95,KOSDAQ,기타서비스,에프앤가이드,"""064850""",,"
															8,300"
21.19,1.44,43.94,3.30,315.0,0.23,"
											
											
												
				28.19
			
											
										",화장품,19,5.95,KOSDAQ,화학,엔에프씨,"""265740""",,"
															9,210"
15.70,4.18,21.13,21.53,816.0,1.24,"
											
											
												
				10.30
			
											
										",건강관리장비와용품,211,25.89,KOSDAQ,제약,티앤엘,"""340570""",4.00,"
															54,900"
6.53,1.65,14.93,11.72,726.0,0.89,"
											
											
												
				34.69
			
											
										",전자장비와기기,122,16.86,KOSDAQ,"의료,정밀기기",위드텍,"""348350""",,"
															17,950"
7.02,0.79,37.27,2.16,453.0,2.3,"
											
											
												
				14.89
			
											
										",가정용품,10,2.26,KOSDAQ,기타제조,비비씨,"""318410""",,"
															10,450"
5.57,1.36,13.51,10.65,180.0,1.15,"
											
											
												
				5.27
			
											
										",생명과학도구및서비스,71,39.71,KOSDAQ,전문기술,피엔케이피부임상연구센타,"""347740""",,"
															3,210"
2.08,1.03,5.06,22.51,431.0,3.3,"
											
											
												
				13.56
			
											
										",컴퓨터와주변기기,104,24.07,KOSDAQ,정보기기,아이디피,"""332370""",,"
															3,940"
2.23,1.33,5.81,22.25,981.0,10.41,"
											
											
												
				7.57
			
											
										",게임엔터테인먼트,249,25.35,KOSDAQ,미분류,미투젠,"""950190""",,"
															11,070"
5.81,1.6,9.95,17.61,575.0,1.55,"
											
											
												
				40.32
			
											
										",소프트웨어,71,12.43,KOSDAQ,소프트웨어,영림원소프트랩,"""060850""",,"
															8,730"
47.43,0.94,47.96,,,,,부동산,,,KOSPI,서비스업,제이알글로벌리츠,"""348950""",4.00,"
															4,535"
44.18,0.78,110.77,,,,,부동산,,,KOSPI,서비스업,미래에셋맵스리츠,"""357250""",,"
															3,490"
3.28,0.47,1.79,,,,,부동산,,,KOSPI,서비스업,이지스레지던스리츠,"""350520""",,"
															3,965"
