EV_EBITDA,PBR,PER,ROE,매출액,배당수익율,부채비율,상세구분,순이익,순이익율,시장구분,업종구분,종목명,종목코드,투자의견,현재가
-11.58,,,427.45,84.0,,"
											
											
												
				",생물공학,-358,-425.22,KOSDAQ,"연구,개발",큐라티스,"""348080""",,"
															4,695"
11.37,197.0,1015.0,,1072.0,,"
											
											
												
				146.76
			
											
										",음료,89,8.35,KOSDAQ,도매,나라셀라,"""405920""",,"
															18,820"
34.08,317.0,4046.0,8.21,76.0,,"
											
											
												
				8.88
			
											
										",건강관리장비와용품,13,16.39,KOSDAQ,"의료,정밀기기",프로테옴텍,"""303360""",,"
															4,515"
24.42,1098.0,3265.0,,1018.0,,"
											
											
												
				20.40
			
											
										",화장품,173,16.98,KOSDAQ,화학,마녀공장,"""439090""",,"
															40,000"
5.58,152.0,641.0,29.71,16811.0,111.0,"
											
											
												
				74.28
			
											
										",전자장비와기기,"1,407",8.37,KOSPI,전기전자,비에이치,"""090460""",4.00,"
															26,950"
22.48,505.0,2098.0,27.69,481.0,,"
											
											
												
				121.76
			
											
										",화학,51,10.65,KOSDAQ,화학,진영,"""285800""",,"
															8,500"
4.78,303.0,729.0,,1019.0,,"
											
											
												
				62.10
			
											
										",핸드셋,169,16.57,KOSDAQ,반도체,팸텍,"""271830""",,"
															4,730"
-29.79,2647.0,,-130.25,168.0,,"
											
											
												
				813.46
			
											
										",소프트웨어,-83,-49.38,KOSDAQ,소프트웨어,씨유박스,"""340810""",,"
															12,600"
12.16,360.0,1619.0,25.18,414.0,,"
											
											
												
				89.60
			
											
										",반도체와반도체장비,58,13.98,KOSDAQ,반도체,마이크로투나노,"""424980""",,"
															19,180"
9.81,549.0,1507.0,59.00,271.0,,"
											
											
												
				36.07
			
											
										",IT서비스,46,16.89,KOSDAQ,소프트웨어,토마토시스템,"""393210""",,"
															16,280"
12.96,206.0,3842.0,6.73,6918.0,,"
											
											
												
				131.96
			
											
										",건설,280,4.05,KOSPI,철강금속,SK오션플랜트,"""100090""",4.00,"
															20,150"
12.63,231.0,1548.0,16.23,388.0,,"
											
											
												
				7.80
			
											
										",전자장비와기기,76,19.66,KOSDAQ,정보기기,트루엔,"""417790""",,"
															14,030"
46.40,915.0,5235.0,18.57,434.0,,"
											
											
												
				74.56
			
											
										",소프트웨어,95,21.78,KOSDAQ,소프트웨어,슈어소프트테크,"""298830""",,"
															10,000"
-60.99,,,997.79,121.0,,"
											
											
												
				2,253.35
			
											
										",생물공학,-48,-39.26,KOSDAQ,제약,에스바이오메딕스,"""304360""",,"
															11,500"
11.77,190.0,2133.0,9.47,275.0,,"
											
											
												
				43.04
			
											
										",화장품,29,10.49,KOSDAQ,"섬유,의류",셀바이오휴먼텍,"""318160""",,"
															6,630"
517.52,3615.0,46206.0,8.82,109.0,,"
											
											
												
				68.25
			
											
										",반도체와반도체장비,6,5.36,KOSDAQ,반도체,라온텍,"""418420""",,"
															9,510"
-580.77,124.0,,,,,"
											
											
												
				207.73
			
											
										",창업투자,-0,,KOSDAQ,금융서비스,유안타제12호스팩,"""446150""",,"
															2,135"
24.08,110.0,2689.0,4.19,185.0,,"
											
											
												
				9.28
			
											
										",창업투자,39,20.91,KOSDAQ,금융,LB인베스트먼트,"""309960""",,"
															5,210"
-5.89,414.0,,-60.01,35.0,,"
											
											
												
				11.18
			
											
										",생물공학,-798,"-2,280.94",KOSDAQ,"연구,개발",지아이이노베이션,"""358570""",4.00,"
															19,800"
16.03,238.0,1911.0,13.13,2306.0,,"
											
											
												
				95.11
			
											
										",에너지장비및서비스,76,3.27,KOSDAQ,전문건설,금양그린파워,"""282720""",,"
															15,990"
"-2,976.69",123.0,,,,,"
											
											
												
				184.83
			
											
										",창업투자,-1,,KOSDAQ,금융서비스,미래에셋드림스팩1호,"""442900""",,"
															9,510"
25.44,668.0,3293.0,23.04,383.0,,"
											
											
												
				53.76
			
											
										",소프트웨어,46,11.96,KOSDAQ,소프트웨어,엑스게이트,"""356680""",,"
															5,730"
68.18,787.0,14577.0,8.88,141.0,,"
											
											
												
				54.82
			
											
										",소프트웨어,7,5.09,KOSDAQ,소프트웨어,모니터랩,"""434480""",,"
															10,480"
25.13,777.0,2791.0,34.36,997.0,,"
											
											
												
				40.94
			
											
										",반도체와반도체장비,278,27.83,KOSDAQ,반도체,기가비스,"""420770""",,"
															73,500"
-793.41,177.0,,,,,"
											
											
												
				80.75
			
											
										",창업투자,-0,,KOSDAQ,금융서비스,엔에이치스팩28호,"""450410""",,"
															2,230"
347.79,1086.0,33102.0,3.33,161.0,,"
											
											
												
				5.28
			
											
										",반도체와반도체장비,6,3.83,KOSDAQ,통신장비,자람테크놀로지,"""389020""",,"
															39,000"
118.48,2573.0,11289.0,28.35,385.0,,"
											
											
												
				158.51
			
											
										",전자장비와기기,41,10.76,KOSDAQ,"기계,장비",나노팀,"""417010""",,"
															27,450"
"-5,781.02",154.0,,,,,"
											
											
												
				89.03
			
											
										",창업투자,-0,,KOSDAQ,금융서비스,삼성스팩8호,"""448740""",,"
															9,780"
10.00,395.0,1135.0,43.36,354.0,,"
											
											
												
				81.97
			
											
										",생명과학도구및서비스,62,17.61,KOSDAQ,"연구,개발",바이오인프라,"""199730""",,"
															17,150"
"-1,987.70",159.0,,,,,"
											
											
												
				88.84
			
											
										",창업투자,-0,,KOSDAQ,금융서비스,유안타제13호스팩,"""449020""",,"
															2,050"
"-10,591.66",90.0,,,,,"
											
											
												
				271.13
			
											
										",창업투자,-0,,KOSDAQ,금융서비스,미래에셋비전스팩2호,"""446190""",,"
															2,195"
22.68,479.0,2430.0,22.05,91.0,,"
											
											
												
				17.87
			
											
										",화장품,13,14.65,KOSDAQ,화학,이노진,"""344860""",,"
															3,500"
19.22,500.0,2750.0,19.99,1070.0,,"
											
											
												
				110.74
			
											
										",자동차부품,80,7.46,KOSDAQ,"운송장비,부품",삼기이브이,"""419050""",,"
															18,180"
-131.24,115107.0,,-396.49,259.0,,"
											
											
												
				9,839.02
			
											
										",소프트웨어,-19,-7.51,KOSDAQ,소프트웨어,오브젠,"""417860""",,"
															39,600"
31.34,510.0,4446.0,12.21,644.0,,"
											
											
												
				59.97
			
											
										",전자장비와기기,36,5.57,KOSDAQ,반도체,화인써키트,"""127980""",,"
															14,030"
"-10,886.29",1658.0,,-13.25,677.0,,"
											
											
												
				44.15
			
											
										",건설,-57,-8.41,KOSDAQ,전문기술,제이오,"""418550""",4.00,"
															35,800"
84.48,1433.0,8759.0,19.58,272.0,,"
											
											
												
				98.05
			
											
										",가구,13,4.85,KOSDAQ,기타제조,꿈비,"""407400""",,"
															18,850"
42.39,683.0,9465.0,9.61,258.0,,"
											
											
												
				21.04
			
											
										",방송과엔터테인먼트,15,5.86,KOSDAQ,방송서비스,스튜디오미르,"""408900""",,"
															33,100"
69.16,6960.0,6454.0,62.77,93.0,,"
											
											
												
				389.21
			
											
										",소프트웨어,22,23.17,KOSDAQ,소프트웨어,샌즈랩,"""411080""",,"
															11,590"
20.83,570.0,2062.0,32.13,5502.0,,"
											
											
												
				110.61
			
											
										",반도체와반도체장비,150,2.73,KOSDAQ,도매,미래반도체,"""254490""",,"
															28,850"
12.73,221.0,91726.0,,2325.0,,"
											
											
												
				380.82
			
											
										",자동차부품,1,0.04,KOSDAQ,금속,한주라이트메탈,"""198940""",,"
															5,250"
-27.00,260.0,,,243.0,,"
											
											
												
				70.28
			
											
										",통신장비,-108,-44.42,KOSDAQ,통신장비,옵티코어,"""380540""",,"
															2,185"
10.98,511.0,1193.0,61.17,3517.0,,"
											
											
												
				101.33
			
											
										",반도체와반도체장비,422,11.99,KOSDAQ,반도체,티이엠씨,"""425040""",4.00,"
															57,900"
11.00,235.0,2493.0,11.50,3810.0,,"
											
											
												
				156.74
			
											
										",철강,59,1.54,KOSDAQ,금속,신스틸,"""162300""",,"
															3,710"
-417.21,107.0,,,,,"
											
											
												
				15.26
			
											
										",창업투자,-0,,KOSDAQ,금융서비스,신영스팩9호,"""445970""",,"
															2,130"
-0.81,30.0,142.0,21.48,4797.0,571.0,"
											
											
												
				9.80
			
											
										",건강관리장비와용품,"3,078",64.17,KOSPI,의약품,바이오노트,"""377740""",,"
															4,650"
-491.99,110.0,,,,,"
											
											
												
				13.61
			
											
										",창업투자,-0,,KOSDAQ,금융서비스,비엔케이제1호스팩,"""445360""",,"
															2,135"
-288.28,115.0,,,,,"
											
											
												
				18.27
			
											
										",창업투자,-0,,KOSDAQ,금융서비스,IBKS제21호스팩,"""442770""",,"
															2,265"
-829.27,119.0,9391.0,,,,"
											
											
												
				5.41
			
											
										",창업투자,0,,KOSDAQ,금융서비스,엔에이치스팩27호,"""440820""",,"
															2,175"
54.78,413.0,,,683.0,,"
											
											
												
				62.84
			
											
										",방송과엔터테인먼트,-230,-33.61,KOSDAQ,"오락,문화",SAMG엔터,"""419530""",,"
															24,450"
38.62,475.0,,-39.36,174.0,,"
											
											
												
				32.64
			
											
										",양방향미디어와서비스,-36,-20.71,KOSDAQ,디지털컨텐츠,핑거스토리,"""417180""",,"
															5,140"
-467.74,135.0,,,,,"
											
											
												
				6.18
			
											
										",창업투자,-0,,KOSDAQ,금융서비스,대신밸런스제14호스팩,"""442310""",,"
															2,475"
-917.36,117.0,5759.0,,,,"
											
											
												
				8.53
			
											
										",창업투자,1,,KOSDAQ,금융서비스,엔에이치스팩26호,"""439410""",,"
															2,180"
-357.49,111.0,,,,,"
											
											
												
				15.45
			
											
										",창업투자,-0,,KOSDAQ,금융서비스,유진스팩9호,"""442130""",,"
															2,190"
-393.30,128.0,,,,,"
											
											
												
				8.67
			
											
										",창업투자,-0,,KOSDAQ,금융서비스,대신밸런스제13호스팩,"""438220""",,"
															2,440"
0.87,44.0,1445.0,,292.0,,"
											
											
												
				11.19
			
											
										",건축자재,10,3.28,KOSPI,종이목재,유니드비티플러스,"""446070""",,"
															7,950"
20.06,580.0,2620.0,27.98,612.0,,"
											
											
												
				178.35
			
											
										",전자장비와기기,52,8.57,KOSDAQ,"기계,장비",펨트론,"""168360""",,"
															14,220"
9.53,746.0,1518.0,65.14,315.0,,"
											
											
												
				330.05
			
											
										",교육서비스,22,6.84,KOSDAQ,소프트웨어,유비온,"""084440""",,"
															1,942"
2.26,113.0,773.0,14.22,762.0,343.0,"
											
											
												
				26.97
			
											
										",게임엔터테인먼트,125,16.40,KOSDAQ,디지털컨텐츠,티쓰리,"""204610""",,"
															1,698"
-6.44,247.0,,-37.23,37.0,,"
											
											
												
				14.55
			
											
										",제약,-106,-284.54,KOSDAQ,제약,인벤티지랩,"""389470""",,"
															9,000"
-48.23,894.0,,-29.66,98.0,,"
											
											
												
				10.33
			
											
										",기계,-82,-84.07,KOSDAQ,"기계,장비",뉴로메카,"""348340""",,"
															34,350"
35.62,528.0,5000.0,12.01,217.0,,"
											
											
												
				13.52
			
											
										",디스플레이장비및부품,41,18.98,KOSDAQ,"기계,장비",엔젯,"""419080""",4.00,"
															23,800"
4.92,209.0,848.0,26.70,21193.0,628.0,"
											
											
												
				35.70
			
											
										",디스플레이장비및부품,"2,337",11.03,KOSPI,전기전자,LX세미콘,"""108320""",4.00,"
															121,900"
11.53,270.0,1262.0,25.55,683.0,,"
											
											
												
				37.09
			
											
										",반도체와반도체장비,109,16.00,KOSDAQ,반도체,제이아이테크,"""417500""",,"
															5,120"
40.62,1024.0,4669.0,29.10,2103.0,34.0,"
											
											
												
				101.50
			
											
										",전자장비와기기,248,11.78,KOSDAQ,"기계,장비",윤성에프앤씨,"""372170""",,"
															176,800"
-343.93,122.0,45041.0,,,,"
											
											
												
				16.89
			
											
										",창업투자,0,,KOSDAQ,금융서비스,IBKS제20호스팩,"""439730""",,"
															2,390"
5.88,142.0,1007.0,16.34,440.0,,"
											
											
												
				39.32
			
											
										",생명과학도구및서비스,53,11.94,KOSDAQ,"연구,개발",디티앤씨알오,"""383930""",,"
															5,200"
"-1,053.30",107.0,6738.0,,,,"
											
											
												
				9.37
			
											
										",창업투자,1,,KOSDAQ,금융서비스,삼성스팩7호,"""439250""",,"
															9,980"
14.80,249.0,1841.0,14.86,637.0,,"
											
											
												
				36.80
			
											
										",반도체와반도체장비,67,10.54,KOSDAQ,반도체,티에프이,"""425420""",,"
															13,260"
-199.67,110.0,,,,,"
											
											
												
				22.36
			
											
										",창업투자,-0,,KOSDAQ,금융서비스,교보13호스팩,"""440790""",,"
															2,190"
7.40,162.0,804.0,25.32,184.0,140.0,"
											
											
												
				19.65
			
											
										",소프트웨어,94,51.42,KOSDAQ,소프트웨어,산돌,"""419120""",,"
															11,800"
-330.69,130.0,10000.0,,,,"
											
											
												
				7.21
			
											
										",창업투자,0,,KOSDAQ,금융서비스,엔에이치스팩25호,"""438580""",,"
															2,375"
13.84,257.0,1628.0,17.22,461.0,,"
											
											
												
				38.73
			
											
										",반도체와반도체장비,63,13.71,KOSDAQ,반도체,저스템,"""417840""",4.00,"
															18,640"
5.67,162.0,1953.0,9.25,596.0,400.0,"
											
											
												
				43.40
			
											
										",반도체와반도체장비,64,10.79,KOSDAQ,전문기술,큐알티,"""405100""",,"
															14,060"
-8.67,1303.0,,,133.0,,"
											
											
												
				286.93
			
											
										",건강관리장비와용품,-177,-132.88,KOSDAQ,"의료,정밀기기",플라즈맵,"""405000""",,"
															6,890"
-730.27,152.0,9717.0,,,,"
											
											
												
				7.78
			
											
										",창업투자,0,,KOSDAQ,금융서비스,한국제11호스팩,"""436610""",,"
															2,790"
-412.73,118.0,9308.0,,,,"
											
											
												
				6.36
			
											
										",창업투자,0,,KOSDAQ,금융서비스,엔에이치스팩24호,"""437780""",,"
															2,180"
-222.70,101.0,9264.0,,,,"
											
											
												
				16.07
			
											
										",창업투자,0,,KOSDAQ,금융서비스,케이비제23호스팩,"""440200""",,"
															2,045"
"-2,534.81",100.0,5352.0,,,,"
											
											
												
				11.86
			
											
										",창업투자,2,,KOSDAQ,금융서비스,하나금융25호스팩,"""435620""",,"
															9,760"
-7.71,374.0,,-39.77,20.0,,"
											
											
												
				20.05
			
											
										",제약,-107,-533.64,KOSDAQ,제약,샤페론,"""378800""",,"
															4,875"
-19.41,390.0,,-29.59,88.0,,"
											
											
												
				30.91
			
											
										",소프트웨어,-38,-42.95,KOSDAQ,소프트웨어,핀텔,"""291810""",,"
															7,460"
33.73,310.0,,-38.88,240.0,,"
											
											
												
				28.72
			
											
										",건강관리장비와용품,-45,-18.79,KOSDAQ,"의료,정밀기기",비스토스,"""419540""",,"
															2,335"
36.65,563.0,4136.0,17.23,630.0,,"
											
											
												
				26.02
			
											
										",전자장비와기기,106,16.75,KOSDAQ,일반전기전자,탑머티리얼,"""360070""",,"
															67,900"
26.19,176.0,4553.0,4.45,168.0,,"
											
											
												
				8.00
			
											
										",식품,11,6.55,KOSDAQ,"음식료,담배",오에스피,"""368970""",,"
															6,520"
-294.81,1135.0,,-36.75,75.0,,"
											
											
												
				39.35
			
											
										",기계,-53,-70.50,KOSDAQ,"기계,장비",에스비비테크,"""389500""",,"
															42,000"
41.70,266.0,,,1164.0,,"
											
											
												
				91.22
			
											
										",핸드셋,-70,-6.05,KOSDAQ,IT부품,파인엠텍,"""441270""",4.00,"
															9,180"
7.65,198.0,1411.0,17.29,700.0,170.0,"
											
											
												
				42.91
			
											
										",기계,77,11.02,KOSDAQ,"기계,장비",모델솔루션,"""417970""",,"
															19,310"
19.05,148.0,1822.0,9.67,162.0,114.0,"
											
											
												
				10.82
			
											
										",소프트웨어,21,13.24,KOSDAQ,소프트웨어,이노룰스,"""296640""",,"
															9,000"
-225.55,121.0,5871.0,,,,"
											
											
												
				9.23
			
											
										",창업투자,0,,KOSDAQ,금융서비스,에스케이증권제8호스팩,"""435870""",,"
															2,370"
-328.96,109.0,13320.0,,,,"
											
											
												
				13.31
			
											
										",창업투자,0,,KOSDAQ,금융서비스,유안타제10호스팩,"""435380""",,"
															2,165"
159.28,634.0,16751.0,4.43,74.0,45.0,"
											
											
												
				79.95
			
											
										",생물공학,9,11.71,KOSDAQ,제약,선바이오,"""067370""",,"
															12,290"
21.60,258.0,3694.0,8.24,2575.0,,"
											
											
												
				15.36
			
											
										",전기제품,553,21.46,KOSDAQ,일반전기전자,더블유씨피,"""393890""",4.00,"
															71,600"
-176.56,110.0,63854.0,,,,"
											
											
												
				16.60
			
											
										",창업투자,0,,KOSDAQ,금융서비스,케이비제22호스팩,"""436530""",,"
															2,170"
7.54,96.0,1787.0,5.53,1381.0,,"
											
											
												
				90.00
			
											
										",제약,43,3.13,KOSDAQ,제약,알피바이오,"""314140""",,"
															10,700"
-572.80,114.0,10373.0,,,,"
											
											
												
				8.88
			
											
										",창업투자,0,,KOSDAQ,금융서비스,한화플러스제3호스팩,"""430460""",,"
															2,115"
"-2,766.02",116.0,9085.0,,,,"
											
											
												
				13.39
			
											
										",창업투자,1,,KOSDAQ,금융서비스,하나금융24호스팩,"""430230""",,"
															2,185"
-400.38,107.0,11341.0,,,,"
											
											
												
				14.97
			
											
										",창업투자,0,,KOSDAQ,금융서비스,키움제7호스팩,"""433530""",,"
															2,135"
-363.29,121.0,16725.0,,,,"
											
											
												
				17.37
			
											
										",창업투자,0,,KOSDAQ,금융서비스,하나금융23호스팩,"""427950""",,"
															2,360"
-16.66,1289.0,,-95.55,100.0,,"
											
											
												
				67.00
			
											
										",반도체와반도체장비,-252,-251.97,KOSDAQ,소프트웨어,오픈엣지테크놀로지,"""394280""",,"
															19,640"
-376.37,114.0,,,,,"
											
											
												
				14.71
			
											
										",창업투자,-0,,KOSDAQ,금융서비스,IBKS제19호스팩,"""426550""",,"
															2,325"
12.10,188.0,5022.0,4.67,1284.0,,"
											
											
												
				129.55
			
											
										",기계,21,1.67,KOSDAQ,"기계,장비",대성하이텍,"""129920""",,"
															9,380"
7.64,212.0,,-9.10,3976.0,,"
											
											
												
				136.58
			
											
										",도로와철도운송,-181,-4.56,KOSPI,서비스업,쏘카,"""403550""",4.00,"
															16,050"
-426.66,113.0,9077.0,,,,"
											
											
												
				13.13
			
											
										",창업투자,1,,KOSDAQ,금융서비스,신영스팩8호,"""430220""",,"
															2,195"
-226.38,118.0,29977.0,,,,"
											
											
												
				14.58
			
											
										",창업투자,0,,KOSDAQ,금융서비스,신한제10호스팩,"""418210""",,"
															2,220"
21.14,187.0,4486.0,5.45,342.0,,"
											
											
												
				22.51
			
											
										",전기제품,20,5.75,KOSDAQ,IT부품,에이치와이티씨,"""148930""",,"
															10,180"
2.79,75.0,686.0,11.46,3035.0,273.0,"
											
											
												
				24.65
			
											
										",에너지장비및서비스,419,13.80,KOSPI,건설업,수산인더스트리,"""126720""",4.00,"
															24,150"
35.21,685.0,4888.0,19.80,481.0,39.0,"
											
											
												
				41.88
			
											
										",전기제품,77,16.00,KOSDAQ,화학,새빗켐,"""107600""",,"
															89,000"
-382.32,111.0,10378.0,,,,"
											
											
												
				14.97
			
											
										",창업투자,0,,KOSDAQ,금융서비스,유안타제9호스팩,"""430700""",,"
															2,190"
29.06,587.0,3804.0,19.62,2699.0,,"
											
											
												
				44.40
			
											
										",전기제품,391,14.50,KOSDAQ,화학,성일하이텍,"""365340""",4.00,"
															143,400"
-18.06,379.0,,-14.18,2.0,,"
											
											
												
				2.75
			
											
										",제약,-90,"-4,479.64",KOSDAQ,"연구,개발",에이프릴바이오,"""397030""",4.00,"
															24,800"
-17.72,159.0,,-12.88,228.0,,"
											
											
												
				28.37
			
											
										",전자장비와기기,-64,-28.21,KOSDAQ,기타제조,아이씨에이치,"""368600""",,"
															5,990"
-34.38,2413.0,,-110.27,139.0,,"
											
											
												
				40.99
			
											
										",건강관리기술,-391,-282.12,KOSDAQ,소프트웨어,루닛,"""328130""",4.00,"
															136,000"
17.15,303.0,18176.0,1.70,272.0,,"
											
											
												
				99.88
			
											
										",IT서비스,2,0.77,KOSDAQ,컴퓨터서비스,벨로크,"""424760""",,"
															2,385"
24.97,1201.0,3199.0,53.20,1593.0,28.0,"
											
											
												
				33.55
			
											
										",반도체와반도체장비,660,41.42,KOSDAQ,반도체,HPSP,"""403870""",4.00,"
															28,900"
-8.96,633.0,,-75.66,129.0,,"
											
											
												
				12.35
			
											
										",반도체와반도체장비,-274,-213.14,KOSDAQ,반도체,넥스트칩,"""396270""",4.00,"
															14,300"
14.26,192.0,2788.0,8.74,824.0,87.0,"
											
											
												
				71.86
			
											
										",반도체와반도체장비,42,5.06,KOSDAQ,반도체,와이씨켐,"""112290""",,"
															12,820"
-110.68,993.0,,-11.93,154.0,,"
											
											
												
				22.81
			
											
										",소프트웨어,-33,-21.30,KOSDAQ,소프트웨어,코난테크놀로지,"""402030""",,"
															71,000"
