EV_EBITDA,PBR,PER,ROE,매출액,배당수익율,부채비율,상세구분,순이익,순이익율,시장구분,업종구분,종목명,종목코드,투자의견,현재가
5.95,3.69,8.88,,"
											
											
												
				1,019
			
											
										","
											
										","
											
											
												
				62.10
			
											
										",핸드셋,169,16.57,KOSDAQ,반도체,팸텍,"""271830""",,"
															5,760"
21.77,4.87,20.24,27.69,"
											
											
												
				481
			
											
										","
											
										","
											
											
												
				121.76
			
											
										",화학,51,10.65,KOSDAQ,화학,진영,"""285800""",,"
															8,200"
87.72,9.94,184.03,8.88,"
											
											
												
				141
			
											
										","
											
										","
											
											
												
				54.82
			
											
										",소프트웨어,7,5.09,KOSDAQ,소프트웨어,모니터랩,"""434480""",,"
															13,230"
14.85,2.63,17.64,16.23,"
											
											
												
				388
			
											
										","
											
										","
											
											
												
				7.80
			
											
										",전자장비와기기,76,19.66,KOSDAQ,정보기기,트루엔,"""417790""",,"
															15,980"
-7.61,5.20,N/A,-60.01,"
											
											
												
				35
			
											
										","
											
										","
											
											
												
				11.18
			
											
										",생물공학,-798,"-2,280.94",KOSDAQ,"연구,개발",지아이이노베이션,"""358570""",4.00,"
															24,850"
51.07,10.06,57.59,18.57,"
											
											
												
				434
			
											
										","
											
										","
											
											
												
				74.56
			
											
										",소프트웨어,95,21.78,KOSDAQ,소프트웨어,슈어소프트테크,"""298830""",,"
															11,000"
7.84,4.49,12.33,59.00,"
											
											
												
				271
			
											
										","
											
										","
											
											
												
				36.07
			
											
										",IT서비스,46,16.89,KOSDAQ,소프트웨어,토마토시스템,"""393210""",,"
															13,320"
152.92,1.03,N/A,,,,,부동산,,,KOSPI,서비스업,삼성FN리츠,"""448730""",,"
															5,100"
12.40,2.01,22.56,9.47,"
											
											
												
				275
			
											
										","
											
										","
											
											
												
				43.04
			
											
										",화장품,29,10.49,KOSDAQ,"섬유,의류",셀바이오휴먼텍,"""318160""",,"
															7,010"
24.51,1.12,27.36,4.19,"
											
											
												
				185
			
											
										","
											
										","
											
											
												
				9.28
			
											
										",창업투자,39,20.91,KOSDAQ,금융,LB인베스트먼트,"""309960""",,"
															5,300"
-28.92,37.71,N/A,-89.85,"
											
											
												
				2
			
											
										","
											
										","
											
											
												
				270.04
			
											
										",생물공학,-62,"-4,016.04",KOSDAQ,제약,에스바이오메딕스,"""304360""",,"
															14,840"
,,,,,,,창업투자,,,KOSDAQ,금융서비스,키움제8호스팩,"""446840""",,"
															2,120"
10.76,1.83,9.44,,"
											
											
												
				1,072
			
											
										","
											
										","
											
											
												
				146.76
			
											
										",음료,89,8.35,KOSDAQ,도매,나라셀라,"""405920""",,"
															17,500"
24.40,7.56,27.15,34.36,"
											
											
												
				997
			
											
										","
											
										","
											
											
												
				40.94
			
											
										",반도체와반도체장비,278,27.83,KOSDAQ,반도체,기가비스,"""420770""",,"
															71,500"
-33.62,30.97,N/A,-130.25,"
											
											
												
				168
			
											
										","
											
										","
											
											
												
				813.46
			
											
										",소프트웨어,-83,-49.38,KOSDAQ,소프트웨어,씨유박스,"""340810""",,"
															14,740"
"-356,229,939.00",10.10,"38,942.01",,,,,부동산,,,KOSPI,서비스업,한화리츠,"""451800""",4.00,"
															5,050"
,,,,,,,화학,,,KOSPI,화학,OCI,"""456040""",,"
															131,300"
,,,,,,,화학,,,KOSPI,화학,이수스페셜티케미컬,"""457190""",,"
															151,500"
-571.77,1.22,N/A,,"
											
											
												
				-
			
											
										","
											
										","
											
											
												
				207.73
			
											
										",창업투자,-0,,KOSDAQ,금융서비스,유안타제12호스팩,"""446150""",,"
															2,100"
13.38,3.93,17.68,25.18,"
											
											
												
				414
			
											
										","
											
										","
											
											
												
				89.60
			
											
										",반도체와반도체장비,58,13.98,KOSDAQ,반도체,마이크로투나노,"""424980""",,"
															20,950"
20.78,5.61,27.64,23.04,"
											
											
												
				383
			
											
										","
											
										","
											
											
												
				53.76
			
											
										",소프트웨어,46,11.96,KOSDAQ,소프트웨어,엑스게이트,"""356680""",,"
															4,810"
12.70,2.02,37.64,6.73,"
											
											
												
				6,918
			
											
										","
											
										","
											
											
												
				131.96
			
											
										",건설,280,4.05,KOSPI,철강금속,SK오션플랜트,"""100090""",4.00,"
															19,740"
,,,,"
											
											
										","
											
										","
											
											
										",창업투자,,,KOSDAQ,금융서비스,하나27호스팩,"""448370""",,"
															2,170"
"-3,000.47",1.24,N/A,,"
											
											
												
				-
			
											
										","
											
										","
											
											
												
				184.83
			
											
										",창업투자,-1,,KOSDAQ,금융서비스,미래에셋드림스팩1호,"""442900""",,"
															9,580"
16.87,2.50,20.11,13.13,"
											
											
												
				2,306
			
											
										","
											
										","
											
											
												
				95.11
			
											
										",에너지장비및서비스,76,3.27,KOSDAQ,전문건설,금양그린파워,"""282720""",,"
															16,830"
698.17,48.46,619.48,8.82,"
											
											
												
				109
			
											
										","
											
										","
											
											
												
				68.25
			
											
										",반도체와반도체장비,6,5.36,KOSDAQ,반도체,라온텍,"""418420""",,"
															12,750"
-789.56,1.76,N/A,,"
											
											
												
				-
			
											
										","
											
										","
											
											
												
				80.75
			
											
										",창업투자,-0,,KOSDAQ,금융서비스,엔에이치스팩28호,"""450410""",,"
															2,220"
,,,,"
											
											
										","
											
										","
											
											
										",창업투자,,,KOSDAQ,금융서비스,하나26호스팩,"""446750""",,"
															2,125"
,,,,"
											
											
										","
											
										","
											
											
										",창업투자,,,KOSDAQ,금융서비스,미래에셋비전스팩3호,"""448830""",,"
															2,145"
343.72,10.73,327.20,3.33,"
											
											
												
				161
			
											
										","
											
										","
											
											
												
				5.28
			
											
										",반도체와반도체장비,6,3.83,KOSDAQ,통신장비,자람테크놀로지,"""389020""",,"
															38,550"
